,X.G1.1.1.19.,LC1.3,X.G4.2.7.1.,X.G4.3.1.6.,LC1.2,X.G4.1.5.3.,pssm129,pssm181,pssm184,X.G4.3.5.3.,pssm86,pssm188,pssm124,X.G4.3.3.4.,pssm91,X.G4.2.5.3.,X.G4.3.3.11.,X.G1.1.1.16.,X.G4.1.7.3.,S6,pssm224,pssm164,X.G1.1.1.17.,pssm133,X.G4.3.1.9.,LC7.1,LC2.3,X.G4.2.3.2.,X.G1.1.1.4.,pssm69,pssm11,pssm126,pssm186,pssm83,pssm384,pssm261,pssm73,X.G4.1.5.2.,pssm81,pssm182,pssm44,pssm264,X.G4.3.3.7.,pssm226,LC1.1,X.G4.3.7.10.,X.G4.3.1.11.,pssm306,pssm139,pssm6,pssm85,pssm381,pssm201,pssm386,pssm89,pssm39,X.G4.3.5.12.,X.G4.2.1.2.,pssm40,LC7.2,pssm183,pssm59
42,2,4,0,2,1,1,0,1,1,2,0,1,0,2,1,1,2,4,4,2,1,2,2,1,1,3,2,0,1,1,2,1,2,1,2,3,2,4,1,0,1,3,0,2,3,2,2,1,2,3,1,2,2,2,1,2,3,0,1,1,2,2
43,1,3,3,3,0,4,4,4,3,0,3,4,3,3,3,3,0,2,0,2,4,4,1,4,3,0,0,4,4,4,4,4,4,2,3,4,4,0,1,4,2,3,3,4,4,1,0,4,4,4,3,4,4,4,2,4,4,4,4,4,4,4
44,2,4,4,1,0,4,0,1,1,1,1,2,1,1,1,4,2,1,0,2,1,3,0,2,3,4,2,4,4,0,0,0,0,2,1,2,1,0,2,0,2,3,2,0,3,2,0,1,0,0,2,0,1,0,1,0,4,3,0,0,0,0
45,0,1,0,1,4,0,2,1,4,0,3,1,3,1,3,0,4,3,2,0,2,3,0,3,1,0,1,0,0,1,2,0,2,2,4,3,2,4,2,3,3,4,1,0,0,3,4,3,2,1,3,2,1,2,4,1,0,0,3,4,1,3
46,0,4,3,4,1,3,3,2,3,2,4,3,4,4,3,3,1,2,0,2,3,4,2,3,4,2,4,4,4,1,2,3,2,3,4,2,2,1,3,2,3,4,4,3,3,4,1,3,3,3,4,3,2,3,3,3,2,4,3,2,2,3
47,4,4,4,4,0,4,0,0,0,4,0,0,0,4,0,4,0,1,0,3,0,0,4,0,2,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
48,0,2,4,3,3,4,2,0,3,1,2,1,1,3,3,4,0,2,2,2,3,3,0,0,3,3,3,4,1,2,0,0,0,3,3,2,3,0,2,0,0,3,4,1,2,1,4,0,0,0,1,0,0,0,3,0,4,4,0,0,2,0
49,2,1,3,2,4,1,1,2,1,2,1,3,1,2,3,1,0,0,0,0,2,3,2,0,1,3,2,3,1,3,2,0,2,1,1,2,0,2,3,2,4,1,0,1,0,0,0,0,0,0,1,1,1,0,3,3,2,3,2,0,0,3
50,1,3,2,3,2,2,1,3,1,0,0,0,0,3,0,2,4,4,3,3,0,0,0,1,2,1,2,2,3,3,3,3,0,2,1,0,0,2,0,3,2,0,2,0,2,1,4,1,3,4,0,1,0,2,0,3,0,3,4,4,2,3
51,1,3,3,4,0,4,4,4,4,0,4,4,4,4,4,4,0,1,2,2,4,4,3,4,4,0,3,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
52,1,4,1,1,0,4,2,0,1,1,2,0,3,3,2,4,0,0,4,3,2,2,1,1,1,1,2,4,4,0,0,3,0,2,1,0,0,1,2,0,1,2,2,2,3,0,2,1,0,0,2,0,0,0,2,0,4,2,0,3,0,0
53,0,4,4,2,1,4,4,3,3,1,3,3,3,2,3,4,1,3,1,3,3,1,3,4,4,0,4,4,4,3,3,3,4,3,3,3,3,1,2,4,3,2,4,3,2,1,3,4,4,3,2,3,3,4,3,3,3,4,3,1,4,3
54,0,4,0,3,1,0,3,3,4,0,3,4,3,3,4,0,1,2,4,2,3,3,1,3,4,0,2,3,2,3,4,3,3,3,4,3,2,2,4,3,3,3,3,3,3,2,1,3,3,3,3,3,3,2,3,3,4,3,4,3,2,2
55,0,2,2,2,3,3,3,2,1,3,2,0,1,3,1,3,1,4,4,2,0,3,4,3,4,0,0,2,3,0,3,4,2,1,3,3,2,3,1,0,2,0,4,3,0,0,1,2,4,4,1,4,3,4,0,3,2,2,0,4,0,4
56,0,3,4,2,1,2,3,3,3,1,4,3,4,1,3,3,0,3,1,2,4,3,0,3,4,1,2,4,1,3,3,3,3,4,3,3,3,1,3,3,4,3,3,3,2,2,0,3,3,3,3,3,3,3,4,4,1,4,3,3,3,4
57,1,1,2,3,2,2,4,4,3,1,3,3,3,3,3,1,1,0,2,2,3,4,1,4,2,2,2,3,2,3,4,4,3,3,4,3,3,2,4,3,4,4,2,3,3,1,0,3,4,4,2,4,4,4,3,4,4,3,3,2,3,4
58,2,3,3,3,0,4,4,4,4,0,4,4,4,3,4,3,1,1,2,3,4,4,3,4,3,3,0,2,4,4,4,4,4,4,4,4,4,0,4,4,4,4,3,4,4,2,1,4,4,4,4,4,4,4,4,4,3,3,4,1,4,4
59,1,3,3,3,2,1,0,3,0,4,0,0,0,3,0,2,2,3,1,3,0,0,0,0,3,1,2,2,1,3,3,3,0,3,1,0,0,4,0,3,2,0,3,0,2,2,1,0,2,3,0,2,1,2,0,3,4,1,4,4,2,3
60,3,1,0,4,2,1,3,4,1,2,4,2,3,2,4,1,0,3,4,0,3,3,1,2,4,0,0,1,1,2,3,4,3,2,2,2,2,4,4,2,4,2,4,2,3,4,0,3,3,3,4,3,4,3,2,3,1,0,3,4,3,1
61,3,2,4,4,3,1,3,3,3,0,3,2,3,4,3,2,0,0,0,1,3,0,1,3,4,0,2,2,1,3,4,3,3,1,1,3,3,3,2,3,1,3,4,3,0,2,0,3,3,3,3,2,3,3,2,1,1,2,3,4,3,2
62,2,1,3,2,2,2,4,4,3,1,4,4,4,1,4,2,1,2,3,2,4,3,3,3,0,1,1,2,3,4,4,4,4,4,3,4,4,2,4,4,4,3,0,4,4,2,1,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4
63,4,4,2,2,0,0,3,2,4,4,3,3,3,2,4,0,2,0,0,2,4,3,2,3,1,1,2,0,0,3,3,3,3,3,4,3,2,4,4,3,3,4,1,3,3,1,2,3,3,3,3,3,3,3,4,2,4,0,3,3,2,2
64,3,4,2,1,0,0,4,4,4,1,4,4,4,1,4,1,2,0,2,3,4,4,1,4,2,1,1,2,1,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,2,1,4,3,4,4
65,0,4,4,1,1,3,3,3,0,1,1,3,0,1,3,3,0,0,0,2,2,0,0,2,2,1,4,4,3,3,1,1,3,0,0,3,3,0,1,3,0,0,1,3,1,1,0,0,2,0,1,2,2,0,0,0,0,4,0,3,3,0
66,2,0,2,1,4,1,2,3,3,1,3,3,3,1,3,1,4,1,3,0,3,3,0,1,2,3,0,2,1,3,2,1,2,3,2,2,2,3,3,2,4,3,0,1,0,2,4,2,1,1,3,2,2,1,3,2,0,1,2,0,2,3
67,1,4,4,4,0,2,2,3,3,2,3,2,3,4,3,3,1,1,1,2,3,3,1,2,3,0,1,3,3,3,2,1,2,4,3,2,3,2,3,3,3,3,4,2,4,2,0,1,2,2,3,3,2,2,3,4,0,3,1,4,3,3
68,1,2,3,4,2,4,4,4,4,0,4,4,4,2,4,4,3,1,3,2,4,4,1,4,3,3,1,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,2,4,3,3,2,4,4,4,4,4,4,4,4,4,1,3,4,0,4,4
69,1,2,4,3,1,4,4,4,4,0,4,4,4,2,4,4,4,0,0,2,4,4,2,4,2,3,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,2,4,4,3,3,4,4,4,4,4,4,4,4,4,3,3,4,0,4,4
70,0,2,4,4,3,2,3,3,4,1,4,4,4,4,4,2,0,3,1,2,4,4,3,4,3,1,1,4,4,4,3,3,3,4,4,4,4,0,4,4,4,4,2,4,1,0,1,4,3,3,4,3,3,3,4,3,2,4,3,4,3,3
71,0,3,4,3,1,3,4,4,4,0,4,4,4,3,4,2,2,3,2,3,4,4,0,4,3,4,0,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,2,3,4,1,4,4
72,2,2,1,0,1,1,2,3,2,2,1,4,3,0,3,1,0,1,0,0,3,3,0,0,0,2,1,3,1,3,2,2,3,1,1,2,0,3,3,1,4,1,0,2,2,0,0,0,0,0,1,1,2,2,4,3,4,3,1,3,0,3
73,0,4,4,4,0,4,4,3,3,2,3,3,3,4,3,4,0,4,2,3,3,1,3,4,4,0,4,4,4,3,3,3,4,3,2,2,3,0,2,4,3,2,4,3,1,3,0,3,4,3,2,3,3,3,3,3,4,4,3,1,4,3
74,1,3,2,4,2,3,2,1,2,3,1,0,2,4,1,3,0,0,1,2,2,2,1,2,3,4,0,3,4,0,2,2,2,1,0,1,1,1,1,1,1,0,3,3,1,0,3,1,0,2,0,1,0,1,3,1,1,2,0,2,2,0
75,0,3,4,4,2,3,3,3,4,1,4,3,4,4,4,2,3,2,0,2,3,4,0,3,4,1,2,4,2,4,3,2,3,4,3,3,3,1,4,3,3,3,4,3,2,4,4,3,3,3,4,4,3,3,4,4,1,4,3,3,3,4
76,1,3,4,3,1,2,0,3,1,4,0,0,0,2,0,3,1,0,1,2,0,0,2,0,2,3,2,2,2,3,3,3,0,2,1,0,0,3,0,3,3,0,3,0,2,0,2,2,3,4,0,2,0,2,0,3,4,1,4,3,2,3
77,2,4,3,4,1,4,3,2,3,2,4,3,4,3,3,3,1,2,1,2,3,4,0,3,4,3,4,4,3,1,1,3,2,3,4,3,2,1,3,2,3,4,4,3,3,0,1,3,3,3,4,3,2,3,3,3,3,4,3,2,3,3
78,0,2,4,4,1,4,4,4,4,0,4,4,4,2,4,4,3,2,0,2,4,4,2,4,2,2,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,2,4,4,1,2,4,4,4,4,4,4,4,4,4,3,4,4,0,4,4
79,0,1,2,0,2,3,4,4,3,1,4,3,4,0,4,3,3,4,3,1,3,2,2,3,0,4,1,1,2,4,4,4,4,3,3,4,4,1,3,4,4,3,0,4,3,0,3,4,4,4,4,4,4,4,3,4,2,1,4,2,4,4
80,0,3,4,0,0,4,2,0,3,3,1,3,2,2,1,4,2,1,0,0,1,3,0,0,1,3,1,1,2,0,0,0,0,1,1,0,0,0,1,0,1,3,1,0,4,4,2,0,0,0,1,0,0,0,2,0,3,1,0,2,0,0
81,1,2,3,4,2,4,4,4,4,0,4,4,4,4,4,4,4,2,1,2,4,4,0,4,3,0,1,4,3,4,4,4,4,4,4,4,4,0,4,4,4,4,2,4,3,3,4,4,4,4,4,4,4,4,4,4,2,4,4,2,4,4
82,0,2,4,3,3,2,3,2,2,3,3,0,3,3,2,3,1,3,0,2,1,3,0,3,1,0,0,2,3,1,3,3,3,2,3,2,2,2,1,0,3,0,2,3,2,1,1,3,3,3,1,4,3,4,0,2,1,3,1,4,0,3
83,0,4,2,4,0,0,4,4,4,0,4,4,4,4,4,0,1,4,2,2,4,4,1,4,4,0,0,2,1,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,1,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4
84,0,3,3,0,1,3,2,0,2,2,2,2,3,0,2,4,3,1,1,0,1,3,3,0,0,3,1,0,4,0,0,0,0,1,1,0,0,2,2,0,0,2,0,0,4,0,3,0,0,0,2,0,0,0,1,0,3,0,0,2,0,0
85,3,4,2,3,0,2,3,2,3,2,3,3,3,2,3,1,3,2,2,2,3,4,4,3,2,0,1,2,0,3,2,3,3,4,3,3,3,3,3,2,3,3,2,3,3,1,2,3,3,3,4,3,3,3,3,3,0,3,3,4,3,3
86,0,4,3,4,1,3,3,3,0,3,1,3,1,1,2,2,4,1,1,2,3,2,0,3,4,0,4,4,2,3,1,2,3,0,0,3,3,0,1,3,0,1,2,3,0,2,4,1,1,0,1,1,2,0,0,0,0,4,0,3,4,0
87,1,3,2,2,0,4,4,4,4,0,4,4,4,2,4,4,0,1,2,2,4,4,2,4,3,0,3,3,4,4,4,4,4,4,4,4,4,0,4,4,4,4,3,4,4,1,0,4,4,4,4,4,4,4,4,4,3,2,4,3,4,4
88,0,4,4,2,0,3,4,3,3,1,3,3,3,3,3,4,0,2,3,3,3,2,2,4,3,1,4,4,3,3,3,3,4,3,3,3,4,2,3,3,3,3,4,3,2,1,1,4,3,3,3,3,3,3,3,3,4,4,3,1,3,3
89,2,3,3,2,3,2,3,4,4,2,4,4,4,4,4,1,1,1,1,2,4,4,2,4,4,1,1,3,2,4,3,3,4,4,4,4,4,1,4,4,4,4,3,4,0,1,1,4,3,3,4,3,3,3,4,3,3,4,3,4,3,3
90,3,1,0,3,4,0,2,3,4,3,1,3,1,3,1,0,2,3,4,0,1,2,3,2,3,0,0,0,0,0,1,0,0,0,4,3,2,4,2,3,1,4,3,0,0,2,3,3,1,0,3,2,3,1,4,2,2,0,1,4,0,3
91,2,3,3,4,0,4,4,4,4,1,4,4,4,4,4,4,0,0,0,2,4,4,1,4,3,1,4,3,3,4,4,4,4,4,4,4,4,0,4,4,4,4,3,4,4,1,0,4,4,4,4,4,4,4,4,4,3,3,4,2,4,4
92,1,2,3,3,0,3,4,4,3,1,3,3,2,2,2,3,2,0,1,1,4,4,2,4,4,2,0,2,3,4,4,4,4,1,2,4,4,1,1,4,1,3,3,4,4,1,0,4,4,4,2,3,4,4,1,4,4,2,4,3,4,4
93,1,0,4,2,4,4,3,3,1,0,3,4,2,2,2,3,2,0,0,0,1,0,2,3,0,0,0,3,4,4,3,3,3,0,0,2,3,2,2,1,0,0,0,3,0,1,2,3,3,3,2,2,4,3,1,1,2,3,2,4,3,0
94,3,2,4,2,2,3,4,4,4,0,3,4,4,3,4,2,3,0,1,2,4,3,1,4,2,2,0,3,4,4,4,4,4,3,3,4,4,1,4,4,3,4,2,4,3,2,3,4,4,4,3,4,4,4,4,4,2,4,4,3,4,4
95,1,4,1,2,0,3,0,0,2,2,1,2,1,2,0,4,1,0,2,2,0,1,4,2,4,3,0,0,3,0,0,0,0,1,3,2,3,2,2,0,1,2,4,0,4,3,1,0,1,1,1,2,2,2,1,1,3,0,0,1,3,0
